Wand of Acid Splash.MOD	OUTPUTNAME:酸液飛濺魔杖（Wand of Acid Splash）
Wand of Inflict Critical Wounds.MOD	OUTPUTNAME:造成致命傷魔杖（Wand of Inflict Critical Wounds）
Wand of Invisibility (Greater).MOD	OUTPUTNAME:高等隱形術魔杖（Wand of Invisibility (Greater)）
Wand of Legend Lore.MOD	OUTPUTNAME:通曉傳奇魔杖（Wand of Legend Lore）
Wand of Locate Creature.MOD	OUTPUTNAME:生物定位術魔杖（Wand of Locate Creature）
Wand of Modify Memory.MOD	OUTPUTNAME:篡改記憶魔杖（Wand of Modify Memory）
Wand of Neutralize Poison.MOD	OUTPUTNAME:中和毒性魔杖（Wand of Neutralize Poison）
Wand of Order's Wrath.MOD	OUTPUTNAME:秩序之怒魔杖（Wand of Order's Wrath）
Wand of Phantasmal Killer.MOD	OUTPUTNAME:魅影殺手魔杖（Wand of Phantasmal Killer）
Wand of Poison.MOD	OUTPUTNAME:毒擊術魔杖（Wand of Poison）
Wand of Reduce Person (Mass).MOD	OUTPUTNAME:群體縮小術魔杖（Wand of Reduce Person (Mass)）
Wand of Reincarnate.MOD	OUTPUTNAME:轉生術魔杖（Wand of Reincarnate）
Wand of Restoration.MOD	OUTPUTNAME:復原術魔杖（Wand of Restoration）
Wand of Rusting Grasp.MOD	OUTPUTNAME:銹蝕爪魔杖（Wand of Rusting Grasp）
Wand of Scrying.MOD	OUTPUTNAME:探知魔杖（Wand of Scrying）
Wand of Sending.MOD	OUTPUTNAME:短訊術魔杖（Wand of Sending）
Wand of Shout.MOD	OUTPUTNAME:咆哮術魔杖（Wand of Shout）
Wand of Solid Fog.MOD	OUTPUTNAME:重霧術魔杖（Wand of Solid Fog）
Wand of Spell Immunity.MOD	OUTPUTNAME:法術免疫魔杖（Wand of Spell Immunity）
Wand of Spike Stones.MOD	OUTPUTNAME:刺石術魔杖（Wand of Spike Stones）
Wand of Summon Monster IV.MOD	OUTPUTNAME:召喚怪物 IV魔杖（Wand of Summon Monster IV）
Wand of Summon Nature's Ally IV.MOD	OUTPUTNAME:召喚自然盟友 IV魔杖（Wand of Summon Nature's Ally IV）
Wand of Unholy Blight.MOD	OUTPUTNAME:邪影擊魔杖（Wand of Unholy Blight）
Wand of Wall of Fire.MOD	OUTPUTNAME:火牆術魔杖（Wand of Wall of Fire）
Wand of Wall of Ice.MOD	OUTPUTNAME:冰牆術魔杖（Wand of Wall of Ice）
Wand of Zone of Silence.MOD	OUTPUTNAME:靜默之域魔杖（Wand of Zone of Silence）
Wand of Animate Rope.MOD	OUTPUTNAME:活化繩魔杖（Wand of Animate Rope）
Wand of Detect Animals or Plants.MOD	OUTPUTNAME:偵測動植物魔杖（Wand of Detect Animals or Plants）
Wand of Magic Aura.MOD	OUTPUTNAME:魔法靈光魔杖（Wand of Magic Aura）
Wand of Consecrate.MOD	OUTPUTNAME:祝聖術魔杖（Wand of Consecrate）
Wand of Desecrate.MOD	OUTPUTNAME:褻瀆術魔杖（Wand of Desecrate）
Wand of Gust of Wind.MOD	OUTPUTNAME:造風術魔杖（Wand of Gust of Wind）
Wand of Magic Mouth.MOD	OUTPUTNAME:魔嘴魔杖（Wand of Magic Mouth）
Wand of Phantom Trap.MOD	OUTPUTNAME:魅影陷阱魔杖（Wand of Phantom Trap）
Wand of Soften Earth and Stone.MOD	OUTPUTNAME:柔石術魔杖（Wand of Soften Earth and Stone）
Wand of Diminish Plants.MOD	OUTPUTNAME:植物凋零魔杖（Wand of Diminish Plants）
Wand of Glyph of Warding.MOD	OUTPUTNAME:守衛刻文魔杖（Wand of Glyph of Warding）
Wand of Halt Undead.MOD	OUTPUTNAME:死靈定身術魔杖（Wand of Halt Undead）
Wand of Helping Hand.MOD	OUTPUTNAME:引導之手魔杖（Wand of Helping Hand）
Wand of Illusory Script.MOD	OUTPUTNAME:迷幻手稿魔杖（Wand of Illusory Script）
Wand of Phantom Steed.MOD	OUTPUTNAME:魅影駒魔杖（Wand of Phantom Steed）
Wand of Plant Growth.MOD	OUTPUTNAME:植物滋長魔杖（Wand of Plant Growth）
Wand of Quench.MOD	OUTPUTNAME:滅火術魔杖（Wand of Quench）
Wand of Secret Page.MOD	OUTPUTNAME:秘密文頁魔杖（Wand of Secret Page）
Wand of Sepia Snake Sigil.MOD	OUTPUTNAME:蛇紋法印魔杖（Wand of Sepia Snake Sigil）
Wand of Shrink Item.MOD	OUTPUTNAME:縮物術魔杖（Wand of Shrink Item）
Wand of Tiny Hut.MOD	OUTPUTNAME:避難小屋魔杖（Wand of Tiny Hut）
Wand of Blight.MOD	OUTPUTNAME:枯萎術魔杖（Wand of Blight）
Wand of Command Plants.MOD	OUTPUTNAME:命令植物魔杖（Wand of Command Plants）
Wand of Control Water.MOD	OUTPUTNAME:操縱水位魔杖（Wand of Control Water）
Wand of Giant Vermin.MOD	OUTPUTNAME:巨蟲術魔杖（Wand of Giant Vermin）
Wand of Minor Creation.MOD	OUTPUTNAME:弱效造物術魔杖（Wand of Minor Creation）
Wand of Mnemonic Enhancer.MOD	OUTPUTNAME:強記術魔杖（Wand of Mnemonic Enhancer）
Wand of Planar Ally (Lesser).MOD	OUTPUTNAME:次等異界盟友魔杖（Wand of Planar Ally (Lesser)）
Wand of Rainbow Pattern.MOD	OUTPUTNAME:虹彩圖紋魔杖（Wand of Rainbow Pattern）
Wand of Repel Vermin.MOD	OUTPUTNAME:驅離害蟲魔杖（Wand of Repel Vermin）
Wand of Resilient Sphere.MOD	OUTPUTNAME:彈力法球魔杖（Wand of Resilient Sphere）
Wand of Secure Shelter.MOD	OUTPUTNAME:庇護所魔杖（Wand of Secure Shelter）
Wand of Shadow Conjuration.MOD	OUTPUTNAME:幽影咒法術魔杖（Wand of Shadow Conjuration）
