Scroll (Acid Splash).MOD	OUTPUTNAME:酸液飛濺卷軸（Scroll (Acid Splash)）
Scroll (Insanity).MOD	OUTPUTNAME:精神錯亂卷軸（Scroll (Insanity)）
Scroll (Invisibility (Mass)).MOD	OUTPUTNAME:群體隱形術卷軸（Scroll (Invisibility (Mass))）
Scroll (Limited Wish).MOD	OUTPUTNAME:有限祈願術卷軸（Scroll (Limited Wish)）
Scroll (Mage's Magnificent Mansion).MOD	OUTPUTNAME:法師豪宅卷軸（Scroll (Mage's Magnificent Mansion)）
Scroll (Phase Door).MOD	OUTPUTNAME:相位門卷軸（Scroll (Phase Door)）
Scroll (Plane Shift/Arcane).MOD	OUTPUTNAME:異界傳送卷軸（Scroll (Plane Shift/Arcane)）
Scroll (Plant Shape III).MOD	OUTPUTNAME:植物形態 III卷軸（Scroll (Plant Shape III)）
Scroll (Polymorph (Greater)).MOD	OUTPUTNAME:高等變形術卷軸（Scroll (Polymorph (Greater))）
Scroll (Power Word Blind).MOD	OUTPUTNAME:真言術：盲卷軸（Scroll (Power Word Blind)）
Scroll (Prismatic Spray).MOD	OUTPUTNAME:虹光噴射卷軸（Scroll (Prismatic Spray)）
Scroll (Project Image).MOD	OUTPUTNAME:投影術卷軸（Scroll (Project Image)）
Scroll (Reverse Gravity).MOD	OUTPUTNAME:反重力卷軸（Scroll (Reverse Gravity)）
Scroll (Sequester).MOD	OUTPUTNAME:隔離術卷軸（Scroll (Sequester)）
Scroll (Scrying (Greater)/Arcane).MOD	OUTPUTNAME:高等探知卷軸（Scroll (Scrying (Greater)/Arcane)）
Scroll (Spell Turning).MOD	OUTPUTNAME:法術反轉卷軸（Scroll (Spell Turning)）
Scroll (Summon Monster VII/Arcane).MOD	OUTPUTNAME:召喚怪物 VII卷軸（Scroll (Summon Monster VII/Arcane)）
Scroll (Teleport (Greater)).MOD	OUTPUTNAME:高等傳送術卷軸（Scroll (Teleport (Greater))）
Scroll (Teleport Object).MOD	OUTPUTNAME:物品傳送術卷軸（Scroll (Teleport Object)）
Scroll (Vision).MOD	OUTPUTNAME:靈視卷軸（Scroll (Vision)）
Scroll (Waves of Exhaustion).MOD	OUTPUTNAME:力竭波卷軸（Scroll (Waves of Exhaustion)）
Scroll (Charm Monster (Mass)).MOD	OUTPUTNAME:群體魅惑怪物卷軸（Scroll (Charm Monster (Mass))）
Scroll (Demand).MOD	OUTPUTNAME:短訊暗示卷軸（Scroll (Demand)）
Scroll (Dimensional Lock/Arcane).MOD	OUTPUTNAME:次元鎖卷軸（Scroll (Dimensional Lock/Arcane)）
Scroll (Discern Location/Arcane).MOD	OUTPUTNAME:感知位置卷軸（Scroll (Discern Location/Arcane)）
Scroll (Form of the Dragon III).MOD	OUTPUTNAME:巨龍形態 III卷軸（Scroll (Form of the Dragon III)）
Scroll (Giant Form II).MOD	OUTPUTNAME:巨人形態 II卷軸（Scroll (Giant Form II)）
Scroll (Horrid Wilting).MOD	OUTPUTNAME:凋死術卷軸（Scroll (Horrid Wilting)）
Scroll (Incendiary Cloud).MOD	OUTPUTNAME:焚雲術卷軸（Scroll (Incendiary Cloud)）
Scroll (Irresistible Dance).MOD	OUTPUTNAME:迷舞卷軸（Scroll (Irresistible Dance)）
Scroll (Maze).MOD	OUTPUTNAME:迷宮術卷軸（Scroll (Maze)）
Scroll (Mind Blank).MOD	OUTPUTNAME:心靈屏障卷軸（Scroll (Mind Blank)）
Scroll (Moment of Prescience).MOD	OUTPUTNAME:片刻預知卷軸（Scroll (Moment of Prescience)）
Scroll (Polar Ray).MOD	OUTPUTNAME:極冰射線卷軸（Scroll (Polar Ray)）
Scroll (Power Word Stun).MOD	OUTPUTNAME:真言術：震卷軸（Scroll (Power Word Stun)）
Scroll (Prismatic Wall).MOD	OUTPUTNAME:虹光法牆卷軸（Scroll (Prismatic Wall)）
Scroll (Protection from Spells).MOD	OUTPUTNAME:防護法術卷軸（Scroll (Protection from Spells)）
Scroll (Scintillating Pattern).MOD	OUTPUTNAME:閃光圖紋卷軸（Scroll (Scintillating Pattern)）
Scroll (Screen).MOD	OUTPUTNAME:障幕卷軸（Scroll (Screen)）
Scroll (Shout (Greater)).MOD	OUTPUTNAME:高等咆哮術卷軸（Scroll (Shout (Greater))）
Scroll (Summon Monster VIII/Arcane).MOD	OUTPUTNAME:召喚怪物 VIII卷軸（Scroll (Summon Monster VIII/Arcane)）
Scroll (Sunburst).MOD	OUTPUTNAME:陽炎爆卷軸（Scroll (Sunburst)）
Scroll (Temporal Stasis).MOD	OUTPUTNAME:永恆靜滯卷軸（Scroll (Temporal Stasis)）
Scroll (Dominate Monster).MOD	OUTPUTNAME:支配怪物卷軸（Scroll (Dominate Monster)）
Scroll (Energy Drain/Arcane).MOD	OUTPUTNAME:吸能術卷軸（Scroll (Energy Drain/Arcane)）
Scroll (Foresight).MOD	OUTPUTNAME:預警術卷軸（Scroll (Foresight)）
Scroll (Freedom).MOD	OUTPUTNAME:解錮術卷軸（Scroll (Freedom)）
Scroll (Hold Monster (Mass)).MOD	OUTPUTNAME:群體怪物定身術卷軸（Scroll (Hold Monster (Mass))）
Scroll (Imprisonment).MOD	OUTPUTNAME:禁錮術卷軸（Scroll (Imprisonment)）
Scroll (Mage's Disjunction).MOD	OUTPUTNAME:法師裂解術卷軸（Scroll (Mage's Disjunction)）
Scroll (Meteor Swarm).MOD	OUTPUTNAME:流星爆卷軸（Scroll (Meteor Swarm)）
Scroll (Power Word Kill).MOD	OUTPUTNAME:真言術：死卷軸（Scroll (Power Word Kill)）
Scroll (Prismatic Sphere).MOD	OUTPUTNAME:虹光法球卷軸（Scroll (Prismatic Sphere)）
Scroll (Refuge/Arcane).MOD	OUTPUTNAME:脫身術卷軸（Scroll (Refuge/Arcane)）
Scroll (Shapechange).MOD	OUTPUTNAME:形體變化卷軸（Scroll (Shapechange)）
Scroll (Soul Bind/Arcane).MOD	OUTPUTNAME:縛魂術卷軸（Scroll (Soul Bind/Arcane)）
Scroll (Summon Monster IX/Arcane).MOD	OUTPUTNAME:召喚怪物 IX卷軸（Scroll (Summon Monster IX/Arcane)）
Scroll (Teleportation Circle).MOD	OUTPUTNAME:傳送法陣卷軸（Scroll (Teleportation Circle)）
Scroll (Time Stop).MOD	OUTPUTNAME:時間靜止卷軸（Scroll (Time Stop)）
Scroll (Wail of the Banshee).MOD	OUTPUTNAME:女妖之嚎卷軸（Scroll (Wail of the Banshee)）
Scroll (Weird).MOD	OUTPUTNAME:怪影殺手卷軸（Scroll (Weird)）
Scroll (Wish).MOD	OUTPUTNAME:祈願術卷軸（Scroll (Wish)）
Scroll (Bleed/Divine).MOD	OUTPUTNAME:出血術卷軸（Scroll (Bleed/Divine)）
Scroll (Create Water).MOD	OUTPUTNAME:造水術卷軸（Scroll (Create Water)）
Scroll (Detect Magic/Divine).MOD	OUTPUTNAME:偵測魔法卷軸（Scroll (Detect Magic/Divine)）
Scroll (Detect Poison/Divine).MOD	OUTPUTNAME:偵測毒性卷軸（Scroll (Detect Poison/Divine)）
Scroll (Guidance).MOD	OUTPUTNAME:神導術卷軸（Scroll (Guidance)）
Scroll (Light/Divine).MOD	OUTPUTNAME:光亮術卷軸（Scroll (Light/Divine)）
Scroll (Mending/Divine).MOD	OUTPUTNAME:修復術卷軸（Scroll (Mending/Divine)）
Scroll (Purify Food and Drink).MOD	OUTPUTNAME:淨化食糧卷軸（Scroll (Purify Food and Drink)）
Scroll (Read Magic/Divine).MOD	OUTPUTNAME:閱讀魔法卷軸（Scroll (Read Magic/Divine)）
Scroll (Resistance/Divine).MOD	OUTPUTNAME:提升抗力卷軸（Scroll (Resistance/Divine)）
Scroll (Stabilize).MOD	OUTPUTNAME:穩定傷勢卷軸（Scroll (Stabilize)）
Scroll (Virtue).MOD	OUTPUTNAME:恩賜卷軸（Scroll (Virtue)）
Scroll (Bane).MOD	OUTPUTNAME:絕望術卷軸（Scroll (Bane)）
Scroll (Bless).MOD	OUTPUTNAME:祝福術卷軸（Scroll (Bless)）
Scroll (Bless Water).MOD	OUTPUTNAME:祝福聖水卷軸（Scroll (Bless Water)）
Scroll (Cause Fear/Divine).MOD	OUTPUTNAME:驚恐術卷軸（Scroll (Cause Fear/Divine)）
Scroll (Command).MOD	OUTPUTNAME:命令術卷軸（Scroll (Command)）
Scroll (Comprehend Languages/Divine).MOD	OUTPUTNAME:通曉語言卷軸（Scroll (Comprehend Languages/Divine)）
Scroll (Cure Light Wounds).MOD	OUTPUTNAME:治療輕傷卷軸（Scroll (Cure Light Wounds)）
Scroll (Curse Water).MOD	OUTPUTNAME:詛咒邪水卷軸（Scroll (Curse Water)）
Scroll (Deathwatch).MOD	OUTPUTNAME:觀命術卷軸（Scroll (Deathwatch)）
Scroll (Detect Chaos).MOD	OUTPUTNAME:偵測混亂卷軸（Scroll (Detect Chaos)）
Scroll (Detect Evil).MOD	OUTPUTNAME:偵測邪惡卷軸（Scroll (Detect Evil)）
Scroll (Detect Good).MOD	OUTPUTNAME:偵測善良卷軸（Scroll (Detect Good)）
Scroll (Detect Law).MOD	OUTPUTNAME:偵測秩序卷軸（Scroll (Detect Law)）
Scroll (Detect Undead/Divine).MOD	OUTPUTNAME:偵測死靈卷軸（Scroll (Detect Undead/Divine)）
Scroll (Divine Favor).MOD	OUTPUTNAME:神恩卷軸（Scroll (Divine Favor)）
Scroll (Doom).MOD	OUTPUTNAME:喪志術卷軸（Scroll (Doom)）
Scroll (Endure Elements/Divine).MOD	OUTPUTNAME:忍受環境卷軸（Scroll (Endure Elements/Divine)）
Scroll (Entropic Shield).MOD	OUTPUTNAME:熵光護盾卷軸（Scroll (Entropic Shield)）
Scroll (Hide from Undead).MOD	OUTPUTNAME:亡靈無視術卷軸（Scroll (Hide from Undead)）
Scroll (Inflict Light Wounds).MOD	OUTPUTNAME:造成輕傷卷軸（Scroll (Inflict Light Wounds)）
Scroll (Magic Stone).MOD	OUTPUTNAME:魔石術卷軸（Scroll (Magic Stone)）
Scroll (Magic Weapon/Divine).MOD	OUTPUTNAME:魔化武器卷軸（Scroll (Magic Weapon/Divine)）
Scroll (Obscuring Mist/Divine).MOD	OUTPUTNAME:隱霧術卷軸（Scroll (Obscuring Mist/Divine)）
Scroll (Protection from Chaos/Divine).MOD	OUTPUTNAME:防護混亂卷軸（Scroll (Protection from Chaos/Divine)）
Scroll (Protection from Evil/Divine).MOD	OUTPUTNAME:防護邪惡卷軸（Scroll (Protection from Evil/Divine)）
Scroll (Protection from Good/Divine).MOD	OUTPUTNAME:防護善良卷軸（Scroll (Protection from Good/Divine)）
Scroll (Protection from Law/Divine).MOD	OUTPUTNAME:防護秩序卷軸（Scroll (Protection from Law/Divine)）
Scroll (Remove Fear).MOD	OUTPUTNAME:移除恐懼卷軸（Scroll (Remove Fear)）
Scroll (Sanctuary).MOD	OUTPUTNAME:聖域術卷軸（Scroll (Sanctuary)）
Scroll (Shield of Faith).MOD	OUTPUTNAME:虔誠護盾卷軸（Scroll (Shield of Faith)）
Scroll (Summon Monster I/Divine).MOD	OUTPUTNAME:召喚怪物 I卷軸（Scroll (Summon Monster I/Divine)）
Scroll (Aid).MOD	OUTPUTNAME:援助術卷軸（Scroll (Aid)）
Scroll (Align Weapon).MOD	OUTPUTNAME:陣營武器卷軸（Scroll (Align Weapon)）
Scroll (Augury).MOD	OUTPUTNAME:占卜術卷軸（Scroll (Augury)）
Scroll (Bear's Endurance/Divine).MOD	OUTPUTNAME:熊之堅韌卷軸（Scroll (Bear's Endurance/Divine)）
Scroll (Bull's Strength/Divine).MOD	OUTPUTNAME:牛之力量卷軸（Scroll (Bull's Strength/Divine)）
Scroll (Calm Emotions).MOD	OUTPUTNAME:安定心神卷軸（Scroll (Calm Emotions)）
Scroll (Cure Moderate Wounds).MOD	OUTPUTNAME:治療中傷卷軸（Scroll (Cure Moderate Wounds)）
Scroll (Darkness/Divine).MOD	OUTPUTNAME:黑暗術卷軸（Scroll (Darkness/Divine)）
Scroll (Death Knell).MOD	OUTPUTNAME:死亡喪鐘卷軸（Scroll (Death Knell)）
Scroll (Delay Poison).MOD	OUTPUTNAME:減緩毒發卷軸（Scroll (Delay Poison)）
Scroll (Eagle's Splendor/Divine).MOD	OUTPUTNAME:鷹之威儀卷軸（Scroll (Eagle's Splendor/Divine)）
Scroll (Enthrall).MOD	OUTPUTNAME:注目術卷軸（Scroll (Enthrall)）
Scroll (Find Traps).MOD	OUTPUTNAME:尋找陷阱卷軸（Scroll (Find Traps)）
Scroll (Gentle Repose/Divine).MOD	OUTPUTNAME:遺體防腐卷軸（Scroll (Gentle Repose/Divine)）
Scroll (Hold Person/Divine).MOD	OUTPUTNAME:人類定身術卷軸（Scroll (Hold Person/Divine)）
Scroll (Inflict Moderate Wounds).MOD	OUTPUTNAME:造成中度傷卷軸（Scroll (Inflict Moderate Wounds)）
Scroll (Make Whole/Divine).MOD	OUTPUTNAME:完全修復術卷軸（Scroll (Make Whole/Divine)）
Scroll (Owl's Wisdom/Divine).MOD	OUTPUTNAME:梟之睿智卷軸（Scroll (Owl's Wisdom/Divine)）
Scroll (Remove Paralysis).MOD	OUTPUTNAME:移除麻痺卷軸（Scroll (Remove Paralysis)）
Scroll (Resist Energy/Divine).MOD	OUTPUTNAME:抵抗能量傷害卷軸（Scroll (Resist Energy/Divine)）
Scroll (Restoration (Lesser)).MOD	OUTPUTNAME:次等復原術卷軸（Scroll (Restoration (Lesser))）
Scroll (Shatter/Divine).MOD	OUTPUTNAME:粉碎音波卷軸（Scroll (Shatter/Divine)）
Scroll (Shield Other).MOD	OUTPUTNAME:護衛他人卷軸（Scroll (Shield Other)）
Scroll (Silence).MOD	OUTPUTNAME:沉默術卷軸（Scroll (Silence)）
Scroll (Sound Burst).MOD	OUTPUTNAME:音鳴爆卷軸（Scroll (Sound Burst)）
Scroll (Spiritual Weapon).MOD	OUTPUTNAME:靈能武器卷軸（Scroll (Spiritual Weapon)）
Scroll (Status).MOD	OUTPUTNAME:關照術卷軸（Scroll (Status)）
Scroll (Summon Monster II/Divine).MOD	OUTPUTNAME:召喚怪物 II卷軸（Scroll (Summon Monster II/Divine)）
Scroll (Undetectable Alignment).MOD	OUTPUTNAME:隱匿陣營卷軸（Scroll (Undetectable Alignment)）
Scroll (Zone of Truth).MOD	OUTPUTNAME:誠實之域卷軸（Scroll (Zone of Truth)）
Scroll (Animate Dead/Divine).MOD	OUTPUTNAME:操縱死屍卷軸（Scroll (Animate Dead/Divine)）
Scroll (Bestow Curse/Divine).MOD	OUTPUTNAME:降咒卷軸（Scroll (Bestow Curse/Divine)）
Scroll (Blindness/Deafness/Divine).MOD	OUTPUTNAME:目盲/耳聾術卷軸（Scroll (Blindness/Deafness/Divine)）
Scroll (Contagion/Divine).MOD	OUTPUTNAME:疫病術卷軸（Scroll (Contagion/Divine)）
Scroll (Continual Flame/Divine).MOD	OUTPUTNAME:不滅明焰卷軸（Scroll (Continual Flame/Divine)）
Scroll (Create Food and Water).MOD	OUTPUTNAME:造糧術卷軸（Scroll (Create Food and Water)）
Scroll (Cure Serious Wounds).MOD	OUTPUTNAME:治療重傷卷軸（Scroll (Cure Serious Wounds)）
Scroll (Daylight/Divine).MOD	OUTPUTNAME:晝明術卷軸（Scroll (Daylight/Divine)）
Scroll (Deeper Darkness).MOD	OUTPUTNAME:深幽黑暗術卷軸（Scroll (Deeper Darkness)）
Scroll (Dispel Magic/Divine).MOD	OUTPUTNAME:解除魔法卷軸（Scroll (Dispel Magic/Divine)）
Scroll (Inflict Serious Wounds).MOD	OUTPUTNAME:造成重傷卷軸（Scroll (Inflict Serious Wounds)）
Scroll (Invisibility Purge).MOD	OUTPUTNAME:消除隱形卷軸（Scroll (Invisibility Purge)）
Scroll (Locate Object/Divine).MOD	OUTPUTNAME:物品定位術卷軸（Scroll (Locate Object/Divine)）
Scroll (Magic Circle Against Chaos/Divine).MOD	OUTPUTNAME:反混亂法陣卷軸（Scroll (Magic Circle Against Chaos/Divine)）
Scroll (Magic Circle Against Evil/Divine).MOD	OUTPUTNAME:反邪惡法陣卷軸（Scroll (Magic Circle Against Evil/Divine)）
Scroll (Magic Circle Against Good/Divine).MOD	OUTPUTNAME:反善良法陣卷軸（Scroll (Magic Circle Against Good/Divine)）
Scroll (Magic Circle Against Law/Divine).MOD	OUTPUTNAME:反秩序法陣卷軸（Scroll (Magic Circle Against Law/Divine)）
Scroll (Magic Vestment).MOD	OUTPUTNAME:魔化防具卷軸（Scroll (Magic Vestment)）
Scroll (Meld into Stone).MOD	OUTPUTNAME:融身入石卷軸（Scroll (Meld into Stone)）
Scroll (Obscure Object/Divine).MOD	OUTPUTNAME:遮蔽物品卷軸（Scroll (Obscure Object/Divine)）
Scroll (Prayer).MOD	OUTPUTNAME:祈禱術卷軸（Scroll (Prayer)）
Scroll (Protection from Energy/Divine).MOD	OUTPUTNAME:防護能量傷害卷軸（Scroll (Protection from Energy/Divine)）
Scroll (Remove Blindness/Deafness).MOD	OUTPUTNAME:移除目盲/耳聾卷軸（Scroll (Remove Blindness/Deafness)）
Scroll (Remove Curse/Divine).MOD	OUTPUTNAME:移除詛咒卷軸（Scroll (Remove Curse/Divine)）
Scroll (Remove Disease).MOD	OUTPUTNAME:移除疾病卷軸（Scroll (Remove Disease)）
Scroll (Searing Light).MOD	OUTPUTNAME:灼熱光輝卷軸（Scroll (Searing Light)）
Scroll (Speak with Dead).MOD	OUTPUTNAME:死者交談卷軸（Scroll (Speak with Dead)）
Scroll (Stone Shape/Divine).MOD	OUTPUTNAME:塑石術卷軸（Scroll (Stone Shape/Divine)）
Scroll (Summon Monster III/Divine).MOD	OUTPUTNAME:召喚怪物 III卷軸（Scroll (Summon Monster III/Divine)）
Scroll (Water Breathing/Divine).MOD	OUTPUTNAME:水中呼吸卷軸（Scroll (Water Breathing/Divine)）
Scroll (Water Walk).MOD	OUTPUTNAME:水面行走卷軸（Scroll (Water Walk)）
Scroll (Wind Wall/Divine).MOD	OUTPUTNAME:風牆術卷軸（Scroll (Wind Wall/Divine)）
Scroll (Air Walk).MOD	OUTPUTNAME:凌空而行卷軸（Scroll (Air Walk)）
Scroll (Chaos Hammer).MOD	OUTPUTNAME:混亂之錘卷軸（Scroll (Chaos Hammer)）
Scroll (Cure Critical Wounds).MOD	OUTPUTNAME:治療致命傷卷軸（Scroll (Cure Critical Wounds)）
Scroll (Death Ward).MOD	OUTPUTNAME:防死結界卷軸（Scroll (Death Ward)）
Scroll (Dimensional Anchor/Divine).MOD	OUTPUTNAME:次元錨卷軸（Scroll (Dimensional Anchor/Divine)）
Scroll (Discern Lies).MOD	OUTPUTNAME:辨識謊言卷軸（Scroll (Discern Lies)）
Scroll (Dismissal/Divine).MOD	OUTPUTNAME:驅逐術卷軸（Scroll (Dismissal/Divine)）
Scroll (Divination).MOD	OUTPUTNAME:預言術卷軸（Scroll (Divination)）
Scroll (Divine Power).MOD	OUTPUTNAME:神能卷軸（Scroll (Divine Power)）
Scroll (Freedom of Movement).MOD	OUTPUTNAME:行動自如卷軸（Scroll (Freedom of Movement)）
Scroll (Holy Smite).MOD	OUTPUTNAME:聖光擊卷軸（Scroll (Holy Smite)）
Scroll (Imbue with Spell Ability).MOD	OUTPUTNAME:法術灌輸卷軸（Scroll (Imbue with Spell Ability)）
Scroll (Inflict Critical Wounds).MOD	OUTPUTNAME:造成致命傷卷軸（Scroll (Inflict Critical Wounds)）
Scroll (Magic Weapon (Greater)/Divine).MOD	OUTPUTNAME:高等魔化武器卷軸（Scroll (Magic Weapon (Greater)/Divine)）
Scroll (Neutralize Poison).MOD	OUTPUTNAME:中和毒性卷軸（Scroll (Neutralize Poison)）
Scroll (Order's Wrath).MOD	OUTPUTNAME:秩序之怒卷軸（Scroll (Order's Wrath)）
Scroll (Poison).MOD	OUTPUTNAME:毒擊術卷軸（Scroll (Poison)）
Scroll (Restoration).MOD	OUTPUTNAME:復原術卷軸（Scroll (Restoration)）
Scroll (Sending/Divine).MOD	OUTPUTNAME:短訊術卷軸（Scroll (Sending/Divine)）
Scroll (Spell Immunity).MOD	OUTPUTNAME:法術免疫卷軸（Scroll (Spell Immunity)）
Scroll (Summon Monster IV/Divine).MOD	OUTPUTNAME:召喚怪物 IV卷軸（Scroll (Summon Monster IV/Divine)）
Scroll (Tongues/Divine).MOD	OUTPUTNAME:巧言術卷軸（Scroll (Tongues/Divine)）
Scroll (Unholy Blight).MOD	OUTPUTNAME:邪影擊卷軸（Scroll (Unholy Blight)）
Scroll (Break Enchantment/Divine).MOD	OUTPUTNAME:破除結界卷軸（Scroll (Break Enchantment/Divine)）
Scroll (Breath of Life).MOD	OUTPUTNAME:生命之息卷軸（Scroll (Breath of Life)）
Scroll (Command (Greater)).MOD	OUTPUTNAME:高等命令術卷軸（Scroll (Command (Greater))）
Scroll (Commune).MOD	OUTPUTNAME:通神術卷軸（Scroll (Commune)）
Scroll (Cure Light Wounds (Mass)).MOD	OUTPUTNAME:群體治療輕傷卷軸（Scroll (Cure Light Wounds (Mass))）
Scroll (Dispel Chaos).MOD	OUTPUTNAME:反制混亂卷軸（Scroll (Dispel Chaos)）
Scroll (Dispel Evil).MOD	OUTPUTNAME:反制邪惡卷軸（Scroll (Dispel Evil)）
Scroll (Dispel Good).MOD	OUTPUTNAME:反制善良卷軸（Scroll (Dispel Good)）
Scroll (Dispel Law).MOD	OUTPUTNAME:反制秩序卷軸（Scroll (Dispel Law)）
Scroll (Disrupting Weapon).MOD	OUTPUTNAME:毀滅武器卷軸（Scroll (Disrupting Weapon)）
Scroll (Flame Strike).MOD	OUTPUTNAME:焰擊術卷軸（Scroll (Flame Strike)）
Scroll (Inflict Light Wounds (Mass)).MOD	OUTPUTNAME:群體造成輕傷卷軸（Scroll (Inflict Light Wounds (Mass))）
Scroll (Insect Plague).MOD	OUTPUTNAME:疫病蟲群卷軸（Scroll (Insect Plague)）
Scroll (Mark of Justice).MOD	OUTPUTNAME:審判烙印卷軸（Scroll (Mark of Justice)）
Scroll (Plane Shift/Divine).MOD	OUTPUTNAME:異界傳送卷軸（Scroll (Plane Shift/Divine)）
Scroll (Raise Dead).MOD	OUTPUTNAME:死者復活卷軸（Scroll (Raise Dead)）
Scroll (Righteous Might).MOD	OUTPUTNAME:正氣如虹卷軸（Scroll (Righteous Might)）
Scroll (Scrying/Divine).MOD	OUTPUTNAME:探知卷軸（Scroll (Scrying/Divine)）
Scroll (Slay Living).MOD	OUTPUTNAME:殺生術卷軸（Scroll (Slay Living)）
Scroll (Spell Resistance).MOD	OUTPUTNAME:法術抗力卷軸（Scroll (Spell Resistance)）
Scroll (Summon Monster V/Divine).MOD	OUTPUTNAME:召喚怪物 V卷軸（Scroll (Summon Monster V/Divine)）
Scroll (True Seeing/Divine).MOD	OUTPUTNAME:真知術卷軸（Scroll (True Seeing/Divine)）
Scroll (Wall of Stone/Divine).MOD	OUTPUTNAME:石牆術卷軸（Scroll (Wall of Stone/Divine)）
Scroll (Antilife Shell).MOD	OUTPUTNAME:防活物護罩卷軸（Scroll (Antilife Shell)）
Scroll (Banishment/Divine).MOD	OUTPUTNAME:放逐術卷軸（Scroll (Banishment/Divine)）
Scroll (Bear's Endurance (Mass)/Divine).MOD	OUTPUTNAME:群體熊之堅韌卷軸（Scroll (Bear's Endurance (Mass)/Divine)）
Scroll (Blade Barrier).MOD	OUTPUTNAME:劍刃護壁卷軸（Scroll (Blade Barrier)）
Scroll (Bull's Strength (Mass)/Divine).MOD	OUTPUTNAME:群體牛之力量卷軸（Scroll (Bull's Strength (Mass)/Divine)）
Scroll (Cure Moderate Wounds (Mass)).MOD	OUTPUTNAME:群體治療中傷卷軸（Scroll (Cure Moderate Wounds (Mass))）
Scroll (Dispel Magic (Greater)/Divine).MOD	OUTPUTNAME:高等解除魔法卷軸（Scroll (Dispel Magic (Greater)/Divine)）
Scroll (Eagle's Splendor (Mass)/Divine).MOD	OUTPUTNAME:群體鷹之威儀卷軸（Scroll (Eagle's Splendor (Mass)/Divine)）
Scroll (Find the Path).MOD	OUTPUTNAME:尋找捷徑卷軸（Scroll (Find the Path)）
Scroll (Geas/Quest/Divine).MOD	OUTPUTNAME:指使術卷軸（Scroll (Geas/Quest/Divine)）
Scroll (Harm).MOD	OUTPUTNAME:重傷術卷軸（Scroll (Harm)）
Scroll (Heal).MOD	OUTPUTNAME:醫療術卷軸（Scroll (Heal)）
Scroll (Heroes' Feast).MOD	OUTPUTNAME:英雄宴卷軸（Scroll (Heroes' Feast)）
Scroll (Inflict Moderate Wounds (Mass)).MOD	OUTPUTNAME:群體造成中度傷卷軸（Scroll (Inflict Moderate Wounds (Mass))）
Scroll (Owl's Wisdom (Mass)/Divine).MOD	OUTPUTNAME:群體梟之睿智卷軸（Scroll (Owl's Wisdom (Mass)/Divine)）
Scroll (Summon Monster VI/Divine).MOD	OUTPUTNAME:召喚怪物 VI卷軸（Scroll (Summon Monster VI/Divine)）
Scroll (Undeath to Death/Divine).MOD	OUTPUTNAME:亡靈歸亡卷軸（Scroll (Undeath to Death/Divine)）
Scroll (Wind Walk).MOD	OUTPUTNAME:御風而行卷軸（Scroll (Wind Walk)）
Scroll (Word of Recall).MOD	OUTPUTNAME:回返真言卷軸（Scroll (Word of Recall)）
Scroll (Control Weather/Divine).MOD	OUTPUTNAME:操控天氣卷軸（Scroll (Control Weather/Divine)）
Scroll (Cure Serious Wounds (Mass)).MOD	OUTPUTNAME:群體治療重傷卷軸（Scroll (Cure Serious Wounds (Mass))）
Scroll (Destruction).MOD	OUTPUTNAME:灰飛煙滅卷軸（Scroll (Destruction)）
Scroll (Inflict Serious Wounds (Mass)).MOD	OUTPUTNAME:群體造成重傷卷軸（Scroll (Inflict Serious Wounds (Mass))）
Scroll (Refuge/Divine).MOD	OUTPUTNAME:脫身術卷軸（Scroll (Refuge/Divine)）
Scroll (Regenerate).MOD	OUTPUTNAME:再生術卷軸（Scroll (Regenerate)）
Scroll (Repulsion/Divine).MOD	OUTPUTNAME:排斥術卷軸（Scroll (Repulsion/Divine)）
Scroll (Restoration (Greater)).MOD	OUTPUTNAME:高等復原術卷軸（Scroll (Restoration (Greater))）
Scroll (Resurrection).MOD	OUTPUTNAME:復生術卷軸（Scroll (Resurrection)）
Scroll (Scrying (Greater)/Divine).MOD	OUTPUTNAME:高等探知卷軸（Scroll (Scrying (Greater)/Divine)）
Scroll (Summon Monster VII/Divine).MOD	OUTPUTNAME:召喚怪物 VII卷軸（Scroll (Summon Monster VII/Divine)）
Scroll (Cloak of Chaos).MOD	OUTPUTNAME:混沌披風卷軸（Scroll (Cloak of Chaos)）
Scroll (Cure Critical Wounds (Mass)).MOD	OUTPUTNAME:群體治療致命傷卷軸（Scroll (Cure Critical Wounds (Mass))）
Scroll (Dimensional Lock/Divine).MOD	OUTPUTNAME:次元鎖卷軸（Scroll (Dimensional Lock/Divine)）
Scroll (Discern Location/Divine).MOD	OUTPUTNAME:感知位置卷軸（Scroll (Discern Location/Divine)）
Scroll (Fire Storm).MOD	OUTPUTNAME:火焰風暴卷軸（Scroll (Fire Storm)）
Scroll (Holy Aura).MOD	OUTPUTNAME:聖潔靈光卷軸（Scroll (Holy Aura)）
Scroll (Inflict Critical Wounds (Mass)).MOD	OUTPUTNAME:群體造成致命傷卷軸（Scroll (Inflict Critical Wounds (Mass))）
Scroll (Shield of Law).MOD	OUTPUTNAME:秩序護盾卷軸（Scroll (Shield of Law)）
Scroll (Spell Immunity (Greater)).MOD	OUTPUTNAME:高等法術免疫卷軸（Scroll (Spell Immunity (Greater))）
Scroll (Summon Monster VIII/Divine).MOD	OUTPUTNAME:召喚怪物 VIII卷軸（Scroll (Summon Monster VIII/Divine)）
Scroll (Unholy Aura).MOD	OUTPUTNAME:邪惡靈光卷軸（Scroll (Unholy Aura)）
